,ToZone,Trips,Hour
709,100585,15.291026,h7
710,100586,532.777689,h7
711,100587,4307.378729,h7
712,100598,796.936777,h7
713,100667,466.985355,h7
714,100668,118.055384,h7
715,100669,426.706508,h7
716,100793,180.077754,h7
717,100799,696.809304,h7
718,101258,791.449597,h7
719,101260,1322.219718,h7
720,100439,1840.105816,h8
721,100505,912.133168,h8
722,100506,258.929006,h8
723,100507,79.149169,h8
724,100508,307.618204,h8
725,100509,813.833675,h8
726,100510,398.030824,h8
727,100511,317.281481,h8
728,100512,412.398766,h8
729,100513,202.851379,h8
730,100514,781.368936,h8
731,100515,556.282062,h8
732,100516,408.947545,h8
733,100517,416.730989,h8
734,100518,2717.568761,h8
735,100519,1111.661321,h8
736,100520,799.66178,h8
737,100521,1633.928707,h8
738,100522,763.441359,h8
739,100523,470.392058,h8
740,100524,312.767468,h8
741,100525,349.045238,h8
742,100526,559.226778,h8
743,100527,791.789142,h8
744,100528,813.631722,h8
745,100529,554.318637,h8
746,100530,631.322091,h8
747,100531,788.285458,h8
748,100532,274.663449,h8
749,100533,372.166028,h8
750,100534,431.156409,h8
751,100535,699.876584,h8
752,100536,511.484592,h8
753,100537,144.648208,h8
754,100538,3238.34097,h8
755,100539,1653.155667,h8
756,100540,962.872247,h8
757,100541,3362.115964,h8
758,100542,253.623492,h8
759,100543,647.248192,h8
760,100544,2134.633874,h8
761,100545,2324.018153,h8
762,100546,687.967674,h8
763,100547,1238.867456,h8
764,100548,1946.544134,h8
765,100549,2452.101254,h8
766,100550,144.330962,h8
767,100551,21.127535,h8
768,100552,51.817384,h8
769,100553,59.674044,h8
770,100554,338.121066,h8
771,100555,1056.458383,h8
772,100556,137.906454,h8
773,100557,253.004917,h8
774,100558,231.619936,h8
775,100559,919.420316,h8
776,100560,92.102631,h8
777,100561,199.428995,h8
778,100562,604.785855,h8
779,100563,689.840938,h8
780,100564,4.263848,h8
781,100565,1396.729091,h8
782,100566,456.512695,h8
783,100569,221.720998,h8
784,100570,230.325337,h8
785,100571,95.189318,h8
786,100572,510.562132,h8
787,100573,631.174149,h8
788,100574,1051.753264,h8
789,100575,834.186834,h8
790,100576,385.902015,h8
791,100577,576.624238,h8
792,100578,378.840696,h8
793,100579,220.491358,h8
794,100580,637.33167,h8
795,100581,517.49864,h8
796,100582,870.24671,h8
797,100583,164.197564,h8
798,100584,1830.280485,h8
799,100585,16.022649,h8
800,100586,421.973646,h8
801,100587,3835.051986,h8
802,100598,688.689666,h8
803,100667,460.774795,h8
804,100668,102.964067,h8
805,100669,330.021496,h8
806,100793,169.450645,h8
807,100799,938.436709,h8
808,101258,700.158386,h8
809,101260,1016.647961,h8
810,100439,1770.037436,h9
811,100505,692.462747,h9
812,100506,257.588139,h9
813,100507,78.37477,h9
814,100508,273.803009,h9
815,100509,767.865612,h9
816,100510,326.711519,h9
817,100511,270.998455,h9
818,100512,372.140783,h9
819,100513,179.112449,h9
820,100514,662.706758,h9
821,100515,453.41854,h9
822,100516,366.92535,h9
823,100517,400.162043,h9
824,100518,2173.241225,h9
825,100519,987.14098,h9
826,100520,641.045666,h9
